prompt,score
  HuffPost,0.641315758228302
 HuffPost,0.6493420600891113
  Northwestern,0.6248683929443359
 Northwestern,0.6332894563674927
  Media,0.6539473533630371
 Media,0.7156578898429871
  NYU,0.6180263161659241
 NYU,0.6306578516960144
  Network,0.6260526180267334
 Network,0.6449999809265137
  Journal,0.6519736647605896
 Journal,0.6648684144020081
  Times,0.5956578850746155
 Times,0.6009210348129272
  Camera,0.6114473342895508
 Camera,0.5785526037216187
  Magazine,0.6939473152160645
 Magazine,0.6981578469276428
  network,0.6169736385345459
 network,0.6197367906570435
  Network,0.6260526180267334
 Network,0.6449999809265137
  Blog,0.7153946757316589
  contributing,0.622499942779541
 contributing,0.6297368407249451
  Harvard,0.6282894611358643
 Harvard,0.6352631449699402
  reviewed,0.62578946352005
 reviewed,0.6430262923240662
  University,0.6317104697227478
 University,0.6390789151191711
  UW,0.6226315498352051
 UW,0.625657856464386
  University,0.6317104697227478
 University,0.6390789151191711
  Rutgers,0.6244736313819885
 Rutgers,0.6271052360534668
  Missouri,0.6414473652839661
 Missouri,0.6415789127349854
  oral,0.6192104816436768
 oral,0.6265789270401001
  yearly,0.6263157725334167
 yearly,0.6128947138786316
  Minnesota,0.6461842060089111
 Minnesota,0.6474999785423279
  Chicago,0.6510525941848755
 Chicago,0.6326315402984619
  quarterly,0.6272368431091309
 quarterly,0.6260526180267334
  Midwest,0.6205263137817383
 Midwest,0.641315758228302
  Ohio,0.6551315784454346
 Ohio,0.6559210419654846
  BYU,0.6198683977127075
 BYU,0.6268420815467834
  STATE,0.6076315641403198
 STATE,0.5959210395812988
  VIDEO,0.6080262660980225
 VIDEO,0.5299999713897705
  LAND,0.5817105174064636
 LAND,0.5722368359565735
  Tracker,0.6164473295211792
 Tracker,0.6565788984298706
  Alert,0.5989473462104797
 Alert,0.688947319984436
  Magazine,0.6939473152160645
 Magazine,0.6981578469276428
  Monitor,0.6318420767784119
 Monitor,0.6613157391548157
  Blog,0.7153946757316589
 Blog,0.6986841559410095
  Report,0.7097368240356445
 Report,0.7661841511726379
  Review,0.648421049118042
 Review,0.7248684167861938
  Timeout,0.6905263066291809
 Timeout,0.7217105031013489
  Information,0.6128947138786316
 Information,0.7435526251792908
  Warning,0.6397368311882019
 Warning,0.6755262613296509
  Reporting,0.6692104935646057
 Reporting,0.6453946828842163
  Info,0.6230263113975525
 Info,0.6817104816436768
  Style,0.6181578636169434
 Style,0.6180263161659241
  Reports,0.7026315331459045
 Reports,0.7252631187438965
  Focus,0.6548683643341064
 Focus,0.7005262970924377
  Analysis,0.6799999475479126
 Analysis,0.6682894229888916
  Release,0.6671052575111389
 Release,0.6915789246559143
  Action,0.6310526132583618
 Action,0.6228947043418884
  Guide,0.6642104983329773
 Guide,0.6788157820701599
  Depth,0.6310526132583618
 Depth,0.6574999690055847
  News,0.6846052408218384
 News,0.7953947186470032
  Reports,0.7026315331459045
 Reports,0.7252631187438965
  Scene,0.6271052360534668
 Scene,0.6309210062026978
  Progress,0.6165789365768433
 Progress,0.6443420648574829
  Reference,0.621710479259491
 Reference,0.6832894682884216
  Material,0.6228947043418884
 Material,0.6474999785423279
  Network,0.6260526180267334
 Network,0.6449999809265137
  Media,0.6539473533630371
 Media,0.7156578898429871
  History,0.6355262994766235
 History,0.6584210395812988
  Reviewed,0.6715789437294006
 Reviewed,0.6357894539833069
  Tips,0.637368381023407
 Tips,0.6626315712928772
  Status,0.6390789151191711
 Status,0.6406578421592712
  Images,0.5851315259933472
 Images,0.5424999594688416
  Statistics,0.6274999976158142
 Statistics,0.638157844543457
  Dialog,0.7126315236091614
 Dialog,0.7490789294242859
  Rated,0.6176315546035767
 Rated,0.6055262684822083
  Preview,0.6311841607093811
 Preview,0.7352631092071533
  Pages,0.614078938961029
 Pages,0.5676315426826477
  Document,0.6305263042449951
 Document,0.6409209966659546
  Details,0.6467105150222778
 Details,0.5739473700523376
  Topics,0.621842086315155
 Topics,0.6588157415390015
  Words,0.6039473414421082
 Words,0.6628947257995605
  Events,0.636710524559021
 Events,0.6215789318084717
  Comments,0.6255263090133667
 Comments,0.6872367858886719
  Scope,0.6144736409187317
 Scope,0.6134210228919983
  Site,0.6361841559410095
 Site,0.6317104697227478
  Spec,0.6148684024810791
 Spec,0.6324999928474426
  Topic,0.6294736266136169
 Topic,0.6668421030044556
  Week,0.706973671913147
 Week,0.5918420553207397
  Task,0.6186841726303101
 Task,0.6269736289978027
  Training,0.6111841797828674
 Training,0.6174999475479126
  Resource,0.6188157796859741
 Resource,0.6301315426826477
  Delivery,0.6073684096336365
 Delivery,0.6235526204109192
  Summary,0.6382894515991211
 Summary,0.6002631187438965
  News,0.6846052408218384
 News,0.7953947186470032
  Report,0.7097368240356445
 Report,0.7661841511726379
  Characters,0.6236841678619385
 Characters,0.6282894611358643
  Track,0.6319736838340759
 Track,0.6194736361503601
  Story,0.6232894659042358
 Story,0.39552628993988037
  post,0.5528947114944458
 post,0.6664473414421082
  Fact,0.6277631521224976
 Fact,0.605394721031189
  Statements,0.6269736289978027
 Statements,0.6440789103507996
  Publications,0.6260526180267334
 Publications,0.6442105174064636
  News,0.6846052408218384
 News,0.7953947186470032
  Hour,0.6588157415390015
 Hour,0.6046052575111389
  Commentary,0.663947343826294
 Commentary,0.7363157272338867
  Progress,0.6165789365768433
 Progress,0.6443420648574829
  Week,0.706973671913147
 Week,0.5918420553207397
  Blog,0.7153946757316589
 Blog,0.6986841559410095
  Stories,0.6676315665245056
 Stories,0.5159210562705994
  Newsletter,0.6324999928474426
 Newsletter,0.6455262899398804
  Tile,0.6202631592750549
 Tile,0.6356578469276428
  Overview,0.6322368383407593
 Overview,0.5967105031013489
  Editor,0.6228947043418884
 Editor,0.6634210348129272
  Function,0.6227631568908691
 Function,0.622499942779541
  Links,0.6238157749176025
 Links,0.4243420958518982
  Press,0.5677631497383118
 Press,0.5009210109710693
  Resources,0.6251315474510193
 Resources,0.640526294708252
  Documents,0.6306578516960144
 Documents,0.6464473605155945
  Ident,0.6201315522193909
 Ident,0.628815770149231
  news,0.692894697189331
 news,0.7942104935646057
  Reviewer,0.660131573677063
 Reviewer,0.7448683977127075
  Articles,0.6285526156425476
 Articles,0.6105262637138367
  Category,0.6357894539833069
 Category,0.6328946948051453
  Journal,0.6519736647605896
 Journal,0.6648684144020081
  Journal,0.6519736647605896
 Journal,0.6648684144020081
  Reporter,0.6474999785423279
 Reporter,0.6739473342895508
  Wiki,0.6230263113975525
 Wiki,0.644473671913147
  report,0.6976315379142761
 report,0.7565789222717285
  Review,0.648421049118042
 Review,0.7248684167861938
  newsletter,0.6352631449699402
 newsletter,0.6430262923240662
  Editor,0.6228947043418884
 Editor,0.6634210348129272
  Daily,0.6543420553207397
 Daily,0.6440789103507996
  Today,0.6819736361503601
 Today,0.726447343826294
  article,0.5565789341926575
 article,0.575657844543457
  Staff,0.6853947043418884
 Staff,0.677236795425415
  Opinion,0.6742104887962341
 Opinion,0.6449999809265137
  Letters,0.6323683857917786
 Letters,0.6485525965690613
  reporting,0.6590788960456848
 reporting,0.6431578397750854
  blog,0.6768420934677124
 blog,0.7013157606124878
  Journalists,0.6197367906570435
 Journalists,0.6317104697227478
  Monitoring,0.6109210252761841
 Monitoring,0.6361841559410095
  Hour,0.6588157415390015
 Hour,0.6046052575111389
  Summary,0.6382894515991211
 Summary,0.6002631187438965
  Research,0.630394697189331
 Research,0.6769736409187317
  Post,0.5499999523162842
 Post,0.6823683977127075
  Description,0.6184210181236267
 Description,0.5314473509788513
  Courtesy,0.6406578421592712
 Courtesy,0.653026282787323
