prompt,score
  absolutely,0.8967600464820862
 absolutely,0.7946183681488037
  absolutely,0.8967600464820862
 absolutely,0.7946183681488037
  thoroughly,0.6732564568519592
 thoroughly,0.874794065952301
  equally,0.7281713485717773
 equally,0.8198791742324829
  profoundly,0.6474464535713196
 profoundly,0.859967052936554
  deeply,0.7874794006347656
 deeply,0.8698517680168152
  Absolutely,0.9170785546302795
 Absolutely,0.6666666865348816
  Absolutely,0.9170785546302795
 Absolutely,0.6666666865348816
  completely,0.8544755578041077
 completely,0.7386052012443542
  unequivocally,0.5700165033340454
 unequivocally,0.8264690041542053
  totally,0.84788578748703
 totally,0.8412960171699524
  completely,0.8544755578041077
 completely,0.7386052012443542
  utterly,0.8028556108474731
 utterly,0.8253706693649292
  plainly,0.703459620475769
 plainly,0.8116419911384583
  abundantly,0.5370675325393677
 abundantly,0.7468423843383789
  experiences,0.5227896571159363
 experiences,0.5518945455551147
  sustaining,0.5161998867988586
 sustaining,0.5238879919052124
  produces,0.5167490243911743
 produces,0.515650749206543
  sustained,0.5354201197624207
 sustained,0.5639758706092834
  extraordinarily,0.6046128869056702
 extraordinarily,0.8528281450271606
  steadily,0.557386040687561
 steadily,0.7589236497879028
  very,0.7589236497879028
 very,0.6979681849479675
  experiencing,0.5227896571159363
 experiencing,0.5831960439682007
  attracts,0.528830349445343
 attracts,0.5299286246299744
  launching,0.5068643689155579
 launching,0.5002745985984802
  carrying,0.5123558640480042
 carrying,0.515650749206543
  deeply,0.7874794006347656
 deeply,0.8698517680168152
  extremely,0.8083470463752747
 extremely,0.7067545652389526
  continual,0.5233388543128967
 continual,0.557386040687561
  practices,0.5189456343650818
 practices,0.5381658673286438
  supplying,0.5085118412971497
 supplying,0.5266337394714355
  being,0.6705107092857361
 being,0.5963756442070007
  yields,0.5123558640480042
 yields,0.5145524740219116
  exceedingly,0.6101043224334717
 exceedingly,0.8583196401596069
  massively,0.6760022044181824
 massively,0.84788578748703
  continually,0.5507962703704834
 continually,0.7830862402915955
  attracts,0.528830349445343
 attracts,0.5299286246299744
  hosting,0.5332235097885132
 hosting,0.5475013852119446
  constantly,0.6183415651321411
 constantly,0.8154860138893127
  emotionally,0.6996155977249146
 emotionally,0.7946183681488037
  psychologically,0.5897858142852783
 psychologically,0.7819879055023193
  consistently,0.6760022044181824
 consistently,0.879187285900116
  hires,0.5161998867988586
 hires,0.5046677589416504
  emotionally,0.6996155977249146
 emotionally,0.7946183681488037
  tastes,0.5661724209785461
 tastes,0.7007138729095459
  smells,0.6238330602645874
 smells,0.6842394471168518
  Rated,0.8264690041542053
 Rated,0.6414058208465576
  rated,0.7528830170631409
 rated,0.5249862670898438
  Rating,0.727073073387146
 Rating,0.6639209389686584
  Grade,0.8693025708198547
 Grade,0.5947281718254089
  Grade,0.8693025708198547
 Grade,0.5947281718254089
  sheer,0.7446458339691162
 sheer,0.7429983615875244
  Women,0.6814936995506287
 Women,0.5442065000534058
  grade,0.622734785079956
 grade,0.5249862670898438
  Report,0.760021984577179
 Report,0.6216364502906799
  Movie,0.5057660937309265
 Movie,0.5063152313232422
  Director,0.5354201197624207
 Director,0.5194947719573975
  Gender,0.6672158241271973
 Gender,0.5310268998146057
  Driver,0.542559027671814
 Driver,0.5233388543128967
  Company,0.5387150049209595
 Company,0.5134541392326355
  grades,0.5293794870376587
 grades,0.5222405195236206
  Network,0.5551894903182983
 Network,0.5161998867988586
  Japan,0.5090609788894653
 Japan,0.5167490243911743
  Technology,0.5123558640480042
 Technology,0.5134541392326355
  Canada,0.5046677589416504
 Canada,0.5189456343650818
  China,0.503569483757019
 China,0.5129050016403198
  Actor,0.5354201197624207
 Actor,0.5227896571159363
  Children,0.6408566832542419
 Children,0.5359692573547363
  Customer,0.6051620244979858
 Customer,0.5326743721961975
  Microsoft,0.5755079984664917
 Microsoft,0.5282811522483826
  Labour,0.5359692573547363
 Labour,0.5178473591804504
  Connection,0.5392641425132751
 Connection,0.5161998867988586
  Consumer,0.5332235097885132
 Consumer,0.515650749206543
  France,0.511257529258728
 France,0.5178473591804504
  Federal,0.509610116481781
 Federal,0.5123558640480042
  Actor,0.5354201197624207
 Actor,0.5227896571159363
  Writer,0.5183964967727661
 Writer,0.5172982215881348
  Saudi,0.5837451815605164
 Saudi,0.5211422443389893
  Domain,0.6046128869056702
 Domain,0.5161998867988586
  Race,0.5387150049209595
 Race,0.5183964967727661
  Russia,0.503569483757019
 Russia,0.515650749206543
  Pakistan,0.5140032768249512
 Pakistan,0.5172982215881348
  Commercial,0.6831411123275757
 Commercial,0.5244371294975281
  Google,0.5013728737831116
 Google,0.5019220113754272
  Egypt,0.5200439095497131
 Egypt,0.5172982215881348
  Woman,0.6479955911636353
 Woman,0.5233388543128967
  Child,0.7528830170631409
 Child,0.5656232833862305
  Financial,0.6512905359268188
 Financial,0.5376167297363281
  Person,0.6057111620903015
 Person,0.5282811522483826
  Brazil,0.5129050016403198
 Brazil,0.515650749206543
  Family,0.6771004796028137
 Family,0.5436573624610901
  Girl,0.6029654145240784
 Girl,0.5271828770637512
  Language,0.6040636897087097
 Language,0.5683690309524536
  thoroughly,0.6732564568519592
 thoroughly,0.874794065952301
  smells,0.6238330602645874
 smells,0.6842394471168518
  Particularly,0.7753981351852417
 Particularly,0.7918726205825806
  mechanically,0.5458539128303528
 mechanically,0.7122460007667542
  unbelievably,0.7298187613487244
 unbelievably,0.8846787810325623
  totally,0.84788578748703
 totally,0.8412960171699524
  CameraVoiceWardFord overall,0.6463481783866882
  decidedly,0.6419549584388733
 decidedly,0.8901702761650085
  downright,0.806150496006012
 downright,0.8511806726455688
  spontaneously,0.5255354046821594
 spontaneously,0.5908841490745544
  Mostly,0.806150496006012
 Mostly,0.8116419911384583
  Absolute,0.83470618724823
 Absolute,0.8621636629104614
  Totally,0.8698517680168152
