prompt,score
  downright,0.6910000443458557
 downright,0.6700000166893005
  overwhelmingly,0.6665000319480896
 overwhelmingly,0.6100000143051147
  unsuperisingly,0.6650000214576721
 unsuperisingly,0.6775000095367432
  mighty,0.6485000252723694
 mighty,0.6865000128746033
  unbelievably,0.6425000429153442
 unbelievably,0.6300000548362732
  enormously,0.6340000033378601
 enormously,0.5945000052452087
  outright,0.6670000553131104
 outright,0.718000054359436
  rightfully,0.6665000319480896
 rightfully,0.671500027179718
  undeniably,0.6500000357627869
 undeniably,0.6940000057220459
  Gameplay,0.5955000519752502
 Gameplay,0.5575000047683716
  Experience,0.6185000538825989
 Experience,0.6150000095367432
  iences,0.6290000081062317
 iences,0.5610000491142273
  ards,0.7055000066757202
 ards,0.5695000290870667
  immensely,0.6425000429153442
 immensely,0.5530000329017639
  overwhelmingly,0.6665000319480896
 overwhelmingly,0.6100000143051147
  altogether,0.6770000457763672
 altogether,0.6770000457763672
  tremendously,0.6215000152587891
 tremendously,0.5649999976158142
  infinitely,0.6255000233650208
 infinitely,0.5335000157356262
  admittedly,0.6875000596046448
 admittedly,0.5330000519752502
  decidedly,0.6805000305175781
 decidedly,0.7115000486373901
  nonetheless,0.6890000104904175
 nonetheless,0.6860000491142273
  Mostly,0.6340000033378601
 Mostly,0.6470000147819519
  immensely,0.6425000429153442
 immensely,0.5530000329017639
  powerfully,0.640500009059906
 powerfully,0.6200000047683716
  mildly,0.6820000410079956
 mildly,0.6305000185966492
  abound,0.5745000243186951
 abound,0.7130000591278076
  perhaps,0.6515000462532043
 perhaps,0.656000018119812
  tastes,0.6660000085830688
 tastes,0.48900002241134644
  sorely,0.6795000433921814
 sorely,0.6425000429153442
  immensely,0.6425000429153442
 immensely,0.5530000329017639
  doubtless,0.6025000214576721
 doubtless,0.6940000057220459
  rife,0.5630000233650208
 rife,0.565500020980835
  subjective,0.6445000171661377
 subjective,0.6640000343322754
  invariably,0.6085000038146973
 invariably,0.612000048160553
  distinctly,0.6375000476837158
 distinctly,0.6015000343322754
  universally,0.6670000553131104
 universally,0.6720000505447388
  objectively,0.6500000357627869
 objectively,0.7085000276565552
  indeed,0.625
 indeed,0.6325000524520874
  surprises,0.6525000333786011
 surprises,0.671500027179718
  hands,0.6840000152587891
 hands,0.6410000324249268
  way,0.6615000367164612
 way,0.675000011920929
  pure,0.5975000262260437
 pure,0.5845000147819519
  smelled,0.5760000348091125
 smelled,0.6780000329017639
  begs,0.6625000238418579
 begs,0.7140000462532043
  builds,0.6620000600814819
 builds,0.7270000576972961
  rushed,0.5960000157356262
 rushed,0.5890000462532043
  buys,0.6290000081062317
 buys,0.7250000238418579
  Truly,0.5300000309944153
 Truly,0.5450000166893005
  tast,0.6785000562667847
 tast,0.5415000319480896
  invites,0.6305000185966492
 invites,0.7775000333786011
  tastes,0.6660000085830688
 tastes,0.48900002241134644
  awfully,0.6760000586509705
 awfully,0.5509999990463257
  insanely,0.6190000176429749
 insanely,0.5625
  decidedly,0.6805000305175781
 decidedly,0.7115000486373901
  genuinely,0.7075000405311584
 genuinely,0.6670000553131104
  admittedly,0.6875000596046448
 admittedly,0.5330000519752502
  arguably,0.6780000329017639
 arguably,0.6795000433921814
  universally,0.6670000553131104
 universally,0.6720000505447388
  intrinsically,0.6075000166893005
 intrinsically,0.6305000185966492
  uniformly,0.5950000286102295
 uniformly,0.6450000405311584
  invariably,0.6085000038146973
 invariably,0.612000048160553
  awfully,0.6760000586509705
 awfully,0.5509999990463257
  predictably,0.6685000061988831
 predictably,0.6465000510215759
  arguably,0.6780000329017639
 arguably,0.6795000433921814
  strikingly,0.6505000591278076
 strikingly,0.5625
  deeply,0.5285000205039978
 deeply,0.5375000238418579
  wholly,0.7055000066757202
 wholly,0.6620000600814819
  endlessly,0.6735000610351562
 endlessly,0.5940000414848328
