prompt,score
  Experience,0.5445000529289246
 Experience,0.6000000238418579
  Score,0.593500018119812
 Score,0.5785000324249268
  authorities,0.6390000581741333
 authorities,0.7090000510215759
  efforts,0.6965000033378601
 efforts,0.6185000538825989
  effort,0.7165000438690186
 effort,0.7020000219345093
  practitioners,0.7175000309944153
 practitioners,0.7555000185966492
  overboard,0.7455000281333923
 overboard,0.5100000500679016
  excellence,0.703000009059906
 excellence,0.7420000433921814
  experts,0.6675000190734863
 experts,0.7175000309944153
  professionals,0.6095000505447388
 professionals,0.7225000262260437
  proficiency,0.7175000309944153
 proficiency,0.7380000352859497
  expertise,0.6970000267028809
 expertise,0.718000054359436
  testers,0.721500039100647
 testers,0.7410000562667847
  personnel,0.5040000081062317
 personnel,0.5015000104904175
  producers,0.690000057220459
 producers,0.7320000529289246
  computers,0.6085000038146973
 computers,0.5790000557899475
  users,0.5285000205039978
 users,0.5940000414848328
  workers,0.6885000467300415
 workers,0.7300000190734863
  officials,0.5485000014305115
 officials,0.5715000033378601
  engineers,0.7930000424385071
 engineers,0.7725000381469727
  staff,0.6875000596046448
 staff,0.6460000276565552
  administrators,0.753000020980835
 administrators,0.7415000200271606
  observers,0.7170000076293945
 observers,0.6960000395774841
  customers,0.6700000166893005
 customers,0.6465000510215759
  technicians,0.7165000438690186
 technicians,0.7255000472068787
  officers,0.5615000128746033
 officers,0.5825000405311584
  personnel,0.5040000081062317
 personnel,0.5015000104904175
  teams,0.6480000019073486
 teams,0.6610000133514404
  overboard,0.7455000281333923
 overboard,0.5100000500679016
  effort,0.7165000438690186
 effort,0.7020000219345093
  practitioners,0.7175000309944153
 practitioners,0.7555000185966492
  officers,0.5615000128746033
 officers,0.5825000405311584
  agencies,0.6855000257492065
 agencies,0.6840000152587891
  trials,0.6940000057220459
 trials,0.5540000200271606
  deputies,0.5285000205039978
 deputies,0.5160000324249268
  hard,0.671500027179718
 hard,0.6945000290870667
  swiftly,0.7515000104904175
 swiftly,0.6105000376701355
  staffers,0.7440000176429749
 staffers,0.6675000190734863
  Authorities,0.5135000348091125
 Authorities,0.5085000395774841
  aggressively,0.718000054359436
 aggressively,0.6915000081062317
  cops,0.7175000309944153
 cops,0.5915000438690186
  remains,0.7365000247955322
 remains,0.6740000247955322
  hunters,0.5275000333786011
 hunters,0.5525000095367432
  immediately,0.7200000286102295
 immediately,0.703000009059906
  doctors,0.7455000281333923
 doctors,0.6515000462532043
  swiftly,0.7515000104904175
 swiftly,0.6105000376701355
  aggressively,0.718000054359436
 aggressively,0.6915000081062317
  technicians,0.7165000438690186
 technicians,0.7255000472068787
  relentlessly,0.6535000205039978
 relentlessly,0.6935000419616699
  restraint,0.6185000538825989
 restraint,0.7640000581741333
  routinely,0.6895000338554382
 routinely,0.7305000424385071
  brutally,0.6410000324249268
 brutally,0.7110000252723694
  promptly,0.7750000357627869
 promptly,0.70250004529953
  owners,0.7090000510215759
 owners,0.6200000047683716
  ingenuity,0.7405000329017639
 ingenuity,0.7435000538825989
  brutally,0.6410000324249268
 brutally,0.7110000252723694
  vigorously,0.7405000329017639
 vigorously,0.612000048160553
  enthusiastically,0.7330000400543213
 enthusiastically,0.6515000462532043
  understandably,0.5180000066757202
 understandably,0.5485000014305115
  often,0.5265000462532043
 often,0.5135000348091125
  inherently,0.518500030040741
 inherently,0.5315000414848328
  natives,0.7140000462532043
 natives,0.6945000290870667
  gladly,0.7320000529289246
 gladly,0.7170000076293945
  foreigners,0.6675000190734863
 foreigners,0.609000027179718
  probably,0.7905000448226929
 probably,0.6690000295639038
  reluctantly,0.5695000290870667
 reluctantly,0.7105000615119934
  certainly,0.7555000185966492
 certainly,0.7075000405311584
  therefore,0.7065000534057617
 therefore,0.6570000052452087
  doubtless,0.7825000286102295
 doubtless,0.765500009059906
  eagerly,0.7045000195503235
 eagerly,0.721500039100647
  frankly,0.6640000343322754
 frankly,0.7210000157356262
  largely,0.5975000262260437
 largely,0.6310000419616699
  noticeably,0.5090000033378601
 noticeably,0.5325000286102295
  clearly,0.659000039100647
 clearly,0.6800000071525574
  unfortunately,0.8025000095367432
 unfortunately,0.8205000162124634
  students,0.612000048160553
 students,0.640500009059906
  enthusiasts,0.7455000281333923
 enthusiasts,0.7320000529289246
  already,0.7365000247955322
 already,0.6930000185966492
  genuinely,0.6740000247955322
 genuinely,0.6035000085830688
  otherwise,0.7465000152587891
 otherwise,0.7825000286102295
  residents,0.7420000433921814
 residents,0.659000039100647
  also,0.7330000400543213
 also,0.6415000557899475
  ERO,0.5585000514984131
 ERO,0.5060000419616699
  IO,0.5095000267028809
 IO,0.5575000047683716
  INO,0.4985000193119049
 INO,0.6135000586509705
  IC,0.5405000448226929
 IC,0.5270000100135803
  AND,0.6520000100135803
 AND,0.5730000138282776
  AC ,0.6305000185966492
 AC,0.5455000400543213
  HER,0.5049999952316284
 HER,0.5300000309944153
  ICO,0.5035000443458557
 ICO,0.5170000195503235
  EC,0.6865000128746033
 EC,0.6935000419616699
  VEN,0.5
 VEN,0.5320000052452087
