prompt,score
  absolutely,0.760021984577179
 absolutely,0.7836353778839111
  absolutely,0.760021984577179
 absolutely,0.7836353778839111
  thoroughly,0.7523338794708252
 thoroughly,0.7215815782546997
  equally,0.6457990407943726
 equally,0.6062602996826172
  profoundly,0.7699066400527954
 profoundly,0.760021984577179
  deeply,0.6891818046569824
 deeply,0.649643063545227
  Absolutely,0.7770456075668335
 Absolutely,0.7753981351852417
  Absolutely,0.7770456075668335
 Absolutely,0.7753981351852417
  completely,0.7611202597618103
 completely,0.7517847418785095
  unequivocally,0.6595277190208435
 unequivocally,0.6298736929893494
  totally,0.749588131904602
 totally,0.774848997592926
  completely,0.7611202597618103
 completely,0.7517847418785095
  utterly,0.6666666865348816
 utterly,0.6430532932281494
  plainly,0.7342119812965393
 plainly,0.7353102564811707
  abundantly,0.7309170961380005
 abundantly,0.6573311686515808
  experiences,0.5002745985984802
 experiences,0.5030203461647034
  sustaining,0.5030203461647034
 sustaining,0.49972543120384216
  produces,0.5008237361907959
 produces,0.49972543120384216
  sustained,0.5019220113754272
 sustained,0.5013728737831116
  extraordinarily,0.5749588012695312
 extraordinarily,0.5277320146560669
  steadily,0.4991762936115265
 steadily,0.49972543120384216
  very,0.511257529258728
 very,0.5118067264556885
  experiencing,0.5118067264556885
 experiencing,0.511257529258728
  attracts,0.49972543120384216
 attracts,0.4991762936115265
  launching,0.5046677589416504
 launching,0.49972543120384216
  carrying,0.5019220113754272
 carrying,0.49972543120384216
  deeply,0.6891818046569824
 deeply,0.649643063545227
  extremely,0.5974739193916321
 extremely,0.6216364502906799
  continual,0.5024711489677429
 continual,0.5008237361907959
  practices,0.5013728737831116
 practices,0.5002745985984802
  supplying,0.4991762936115265
 supplying,0.4991762936115265
  being,0.5447556376457214
 being,0.5354201197624207
  yields,0.4991762936115265
 yields,0.4991762936115265
  exceedingly,0.5919824242591858
 exceedingly,0.5755079984664917
  massively,0.5398132801055908
 massively,0.6710598468780518
  continually,0.5244371294975281
 continually,0.5041186213493347
  attracts,0.49972543120384216
 attracts,0.4991762936115265
  hosting,0.5002745985984802
 hosting,0.5052168965339661
  constantly,0.5518945455551147
 constantly,0.5546402931213379
  emotionally,0.7353102564811707
 emotionally,0.6902800798416138
  psychologically,0.6534870862960815
 psychologically,0.6880834698677063
  consistently,0.5458539128303528
 consistently,0.5711147785186768
  hires,0.49972543120384216
 hires,0.4991762936115265
  emotionally,0.7353102564811707
 emotionally,0.6902800798416138
  tastes,0.5222405195236206
 tastes,0.4991762936115265
  smells,0.6062602996826172
 smells,0.5244371294975281
