prompt,score
  HuffPost,0.7561841607093811
 HuffPost,0.6805262565612793
  Northwestern,0.6438157558441162
 Northwestern,0.5203947424888611
  Media,0.3449999988079071
 Media,0.3867104947566986
  NYU,0.7586841583251953
 NYU,0.6714473366737366
  Network,0.6632894277572632
 Network,0.6267104744911194
  Journal,0.7080262899398804
 Journal,0.5313157439231873
  Times,0.6034210324287415
 Times,0.5798683762550354
  Camera,0.4567105174064636
 Camera,0.4080263078212738
  Magazine,0.758552610874176
 Magazine,0.6638157367706299
  network,0.6693421006202698
 network,0.6464473605155945
  Network,0.6632894277572632
 Network,0.6267104744911194
  Blog,0.5142105221748352
 Blog,0.3934210240840912
  Wire,0.5264473557472229
 Wire,0.5561841726303101
  Channel,0.4624999761581421
 Channel,0.5877631306648254
  Directory,0.6159210205078125
 Directory,0.5864473581314087
  News,0.5664473176002502
 News,0.6527631282806396
  Daily,0.6618420481681824
 Daily,0.6668421030044556
  Monitor,0.5606578588485718
 Monitor,0.6406578421592712
  Action,0.46921050548553467
 Action,0.4717105031013489
  Family,0.528815746307373
 Family,0.5268420577049255
  Northwest,0.5636841654777527
 Northwest,0.5769736766815186
  Northeast,0.6036841869354248
 Northeast,0.5956578850746155
  School,0.37065789103507996
 School,0.4064473509788513
  consulted,0.6015788912773132
 consulted,0.5813157558441162
  Southeast,0.5767105221748352
 Southeast,0.5690789222717285
  Yale,0.6980262994766235
 Yale,0.6460525989532471
  Notified,0.6311841607093811
 Notified,0.6190789341926575
  contributing,0.7167105078697205
 contributing,0.614078938961029
  Harvard,0.5856578946113586
 Harvard,0.6630262732505798
  reviewed,0.649868369102478
 reviewed,0.6809210181236267
  University,0.6109210252761841
 University,0.6613157391548157
  UW,0.6182894706726074
 UW,0.5146052241325378
  University,0.6109210252761841
 University,0.6613157391548157
  Rutgers,0.6464473605155945
 Rutgers,0.4567105174064636
  Missouri,0.6114473342895508
 Missouri,0.6115789413452148
  oral,0.6640788912773132
 oral,0.6310526132583618
  yearly,0.6113157868385315
 yearly,0.6010525822639465
  Minnesota,0.61789470911026
 Minnesota,0.5971052646636963
  Chicago,0.6055262684822083
 Chicago,0.6261841654777527
  quarterly,0.5813157558441162
 quarterly,0.5684210062026978
  Midwest,0.6488157510757446
 Midwest,0.62578946352005
  Ohio,0.6365789175033569
 Ohio,0.633552610874176
  BYU,0.6188157796859741
 BYU,0.6074999570846558
  STATE,0.6169736385345459
 STATE,0.5874999761581421
  VIDEO,0.5518420934677124
 VIDEO,0.6186841726303101
  LAND,0.4405263066291809
 LAND,0.492499977350235
